ID	father	mother	sex	line	treat	d8weight	d21weight	d36weight	d78weight	age1stegg	eggNumber	batch
1387	5808	5857	M	B	IC	42	169	246	388			2
7378	5799	5907	F	B	Control	45	173	245	389	56	12	1
6919	5827	5901	F	B	Bisphenol	39	163	251	389	52	17	1
6573	5856	5838	F	B	IC	35	147	252	389	53	19	1
1397	5878	5728	M	B	IC	40	174	281	389			2
1837	5856	5838	M	B	Genistein	36	163	245	390			2
7127	5890	5912	M	B	Genistein	40	153	257	390			1
6772	5917	5940	F	B	5Aza	40	154	232	391	58	13	1
1379	5781	5701	F	B	IC	43	175	255	391	57	17	2
1843	5919	5876	F	B	Genistein	38	153	246	392	58	17	2
7133	5827	5901	F	B	Genistein	40	163	250	392	53	19	1
6978	5864	5947	M	B	Bisphenol	40	174	268	392			1
7414	5884	5803	F	B	Control	35	156	265	393	52	19	1
7147	5799	5907	F	B	Genistein	40	161	238	394	57	5	1
7389	5729	5949	F	B	Control	36	152	235	395	54	18	1
2039	5822	5778	F	B	5Aza	39	157	253	395	52	23	2
7124	5771	5834	M	B	Genistein	40.1	183	283	395			1
6624	5817	5913	F	B	IC	39	171	255	396	54	17	1
7384	5772	5780	F	B	Control	49	179	254	396	53	20	1
1999	5856	5838	F	B	5Aza	38	174	267	396	54	23	2
1609	5943	5887	M	B	Bisphenol	35	156	268	396			2
6960	5936	5741	M	B	Bisphenol	42	173	275	396			1
1884	5888	5842	M	B	Genistein	45	172	257	396			2
1618	5878	5728	F	B	Bisphenol	41	176	275	397	55	22	2
6781	5817	5913	F	B	5Aza	39.3	172	251	398	54	14	1
6980	5897	5899	F	B	Bisphenol	42	169	263	398	53	16	1
1833	5781	5701	F	B	Genistein	44	163	262	398	56	17	2
7143	5885	5805	M	B	Genistein	35.4	152	232	398			1
6593	5873	5764	F	B	IC	36	138	245	399	55	16	1
2187	5774	5937	F	B	Control	39	160	257	399	55	21	2
6592	5799	5907	F	B	IC	45	181	259	400	53	14	1
7377	5799	5907	F	B	Control	44	181	263	400	51	20	1
2035	5926	5731	F	B	5Aza	42	169	252	400	56	21	2
1370	5795	5871	F	B	IC	45	182	263	401	55	22	2
7349	5795	5871	M	B	Control	42	173	262	402			1
2245	5791	5875	F	B	Control	39	160	264	403	53	22	2
2215	5772	5780	F	B	Control	46	172	256	403	53	23	2
6585	5747	5801	F	B	IC	41	164	251	403			1
1986	5795	5871	F	B	5Aza	40	164	256	404	54	22	2
6779	5926	5731	F	B	5Aza	36	140	240	405	54	16	1
2229	5858	5740	M	B	Control	44	176	249	405			2
1614	5855	5703	F	B	Bisphenol	34	157	254	406	60	17	2
1862	5744	5806	F	B	Genistein	44	167	179	406	56	18	2
2030	5761	5734	F	B	5Aza	34	169	273	406	55	22	2
1879	5822	5778	F	B	Genistein	40	157	250	406	52	24	2
