id	cage	line	date	hour	batch	count
6649	38	DD	06/12/2016	11	1	1
6649	38	DD	07/12/2016	9	1	1
6649	38	DD	08/12/2016	13	1	1
6649	38	DD	09/12/2016	13	1	1
6649	38	DD	10/12/2016	9	1	1
6649	38	DD	11/12/2016	9	1	1
6649	38	DD	12/12/2016	9	1	1
6649	38	DD	13/12/2016	11	1	1
6649	38	DD	14/12/2016	10	1	1
6649	38	DD	15/12/2016	11	1	1
6646	39	DD	24/11/2016	8	1	1
6646	39	DD	25/11/2016	9	1	1
6646	39	DD	26/11/2016	11	1	1
6646	39	DD	27/11/2016	11	1	1
6646	39	DD	28/11/2016	9	1	1
6646	39	DD	29/11/2016	14	1	1
6646	39	DD	30/11/2016	10	1	1
6646	39	DD	01/12/2016	11	1	1
6646	39	DD	02/12/2016	8	1	1
6646	39	DD	03/12/2016	9	1	1
6646	39	DD	05/12/2016	9	1	1
6646	39	DD	06/12/2016	11	1	1
6646	39	DD	07/12/2016	9	1	1
6646	39	DD	08/12/2016	13	1	1
6646	39	DD	09/12/2016	13	1	1
6646	39	DD	10/12/2016	9	1	1
6646	39	DD	11/12/2016	9	1	1
6646	39	DD	12/12/2016	9	1	1
6646	39	DD	13/12/2016	11	1	1
6646	39	DD	15/12/2016	10	1	1
6646	39	DD	15/12/2016	11	1	1
7255	40	S+	27/11/2016	11	1	1
7255	40	S+	28/11/2016	9	1	1
7255	40	S+	29/11/2016	14	1	1
7255	40	S+	30/11/2016	10	1	1
7255	40	S+	01/12/2016	11	1	1
7255	40	S+	03/12/2016	9	1	1
7255	40	S+	04/12/2016	9	1	1
7255	40	S+	05/12/2016	9	1	1
7255	40	S+	06/12/2016	11	1	1
7255	40	S+	08/12/2016	13	1	1
7255	40	S+	09/12/2016	13	1	1
7255	40	S+	10/12/2016	9	1	1
7255	40	S+	11/12/2016	9	1	1
7255	40	S+	12/12/2016	9	1	1
7255	40	S+	13/12/2016	11	1	1
7255	40	S+	14/12/2016	10	1	1
7255	40	S+	15/12/2016	11	1	1
7495	41	S+	09/12/2016	13	1	1
7495	41	S+	10/12/2016	9	1	1
7495	41	S+	11/12/2016	9	1	1
7495	41	S+	13/12/2016	11	1	1
7495	41	S+	14/12/2016	10	1	1
7495	41	S+	15/12/2016	11	1	1
7368	42	B	24/11/2016	8	1	1
7368	42	B	25/11/2016	8	1	1
7368	42	B	25/11/2016	9	1	1
7368	42	B	26/11/2016	11	1	1
7368	42	B	27/11/2016	11	1	1
7368	42	B	28/11/2016	9	1	1
7368	42	B	29/11/2016	14	1	1
7368	42	B	30/11/2016	10	1	1
7368	42	B	02/12/2016	8	1	1
7368	42	B	03/12/2016	9	1	1
7368	42	B	05/12/2016	9	1	1
7368	42	B	06/12/2016	11	1	1
7368	42	B	07/12/2016	9	1	1
7368	42	B	08/12/2016	13	1	1
7368	42	B	09/12/2016	13	1	1
7368	42	B	10/12/2016	9	1	1
7368	42	B	11/12/2016	9	1	1
7368	42	B	12/12/2016	9	1	1
7368	42	B	13/12/2016	11	1	1
7368	42	B	14/12/2016	10	1	1
7368	42	B	15/12/2016	11	1	1
6787	43	DD	25/11/2016	9	1	1
6787	43	DD	26/11/2016	11	1	1
6787	43	DD	28/11/2016	8	1	1
6787	43	DD	28/11/2016	9	1	1
6787	43	DD	30/11/2016	10	1	1
6787	43	DD	03/12/2016	9	1	1
